number	set	theta	degrees	arc	dog	unmissable	pos	pattern
220	55	2.64	151	17	1	0	4	dog 17
221	56	5.89	337	17	1	0	1	dog 17
222	56	3.53	202	17	1	0	2	dog 17
223	56	0.83	47	17	1	0	3	dog 17
224	56	2.58	148	17	1	0	4	dog 17
225	57	5.17	296	17	1	0	1	dog 17
226	57	2.10	121	17	1	0	2	dog 17
227	57	5.82	334	17	1	0	3	dog 17
228	57	1.82	105	17	1	0	4	dog 17
229	58	5.41	310	17	1	0	1	dog 17
230	58	2.53	145	17	1	0	2	dog 17
231	58	5.25	301	17	1	0	3	dog 17
232	58	1.68	96	17	1	0	4	dog 17
233	59	6.05	346	17	1	0	1	dog 17
234	59	4.85	278	17	1	0	2	dog 17
235	59	0.38	22	17	1	0	3	dog 17
236	59	2.36	135	17	1	0	4	dog 17
237	60	6.25	358	17	1	0	1	dog 17
238	60	3.32	190	17	1	0	2	dog 17
239	60	3.98	228	17	1	0	3	dog 17
240	60	5.17	296	17	1	0	4	dog 17
241	61	1.46	84	17	1	0	1	dog 17
242	61	3.18	182	17	1	0	2	dog 17
243	61	4.85	278	17	1	0	3	dog 17
244	61	0.07	4	17	1	0	4	dog 17
245	62	4.07	233	17	1	0	1	dog 17
246	62	2.46	141	17	1	0	2	dog 17
247	62	0.91	52	17	1	0	3	dog 17
248	62	2.33	133	17	1	0	4	dog 17
249	63	5.30	303	40	0	0	1	bar 40
250	63	5.94	340	40	0	0	2	bar 40
251	63	1.32	76	40	0	0	3	bar 40
252	63	6.01	344	40	0	0	4	bar 40
253	64	5.30	304	40	0	0	1	bar 40
254	64	1.39	80	40	0	0	2	bar 40
255	64	5.30	304	40	0	0	3	bar 40
256	64	3.10	178	40	0	0	4	bar 40
257	65	2.75	158	40	0	0	1	bar 40
258	65	0.10	6	40	0	0	2	bar 40
259	65	2.63	151	40	0	0	3	bar 40
260	65	0.27	16	40	0	0	4	bar 40
261	66	3.07	176	40	0	0	1	bar 40
262	66	2.31	132	40	0	0	2	bar 40
263	66	5.23	300	40	0	0	3	bar 40
264	66	4.10	235	40	0	0	4	bar 40
265	67	0.33	19	40	0	0	1	bar 40
266	67	3.44	197	40	0	0	2	bar 40
267	67	5.79	332	40	0	0	3	bar 40
268	67	1.76	101	40	0	0	4	bar 40
269	68	2.49	143	40	0	0	1	bar 40
270	68	2.84	163	40	0	0	2	bar 40
271	68	3.98	228	40	0	0	3	bar 40
272	68	6.01	344	40	0	0	4	bar 40
273	69	5.96	341	0	0	0	1	control
274	69	6.10	350	0	0	0	2	control
275	69	5.31	304	0	0	0	3	control
276	69	2.66	153	0	0	0	4	control
277	70	4.55	261	0	0	0	1	control
278	70	1.86	107	0	0	0	2	control
279	70	6.25	358	0	0	0	3	control
280	70	5.47	313	0	0	0	4	control
281	71	3.53	202	15	0	0	1	15 bar
282	71	4.70	269	15	0	0	2	15 bar
283	71	1.08	62	15	0	0	3	15 bar
284	71	0.37	21	15	0	0	4	15 bar
285	72	4.18	239	15	0	0	1	15 bar
286	72	5.64	323	15	0	0	2	15 bar
287	72	3.28	188	15	0	0	3	15 bar
288	72	1.27	72	15	0	0	4	15 bar
289	73	1.19	68	15	0	0	1	15 bar
290	73	5.56	318	15	0	0	2	15 bar
291	73	4.20	241	15	0	0	3	15 bar
292	73	5.63	322	15	0	0	4	15 bar
293	74	4.70	269	0	0	0	1	control
294	74	0.04	2	0	0	0	2	control
295	74	4.33	248	0	0	0	3	control
296	74	5.16	296	0	0	0	4	control
297	75	4.45	255	0	0	0	1	control
298	75	0.43	25	0	0	0	2	control
299	75	1.48	85	0	0	0	3	control
300	75	4.95	284	0	0	0	4	control
301	76	2.63	151	0	0	0	1	control
302	76	3.05	175	0	0	0	2	control
303	76	4.41	253	0	0	0	3	control
304	76	0.44	25	0	0	0	4	control
305	77	3.12	179	0	0	0	1	control
306	77	0.68	39	0	0	0	2	control
307	77	4.39	251	0	0	0	3	control
308	77	1.50	86	0	0	0	4	control
309	78	3.10	178	0	0	0	1	control
310	78	4.05	232	0	0	0	2	control
311	78	2.39	137	0	0	0	3	control
312	78	4.34	248	0	0	0	4	control
313	79	4.83	277	0	0	0	1	control
314	79	2.55	146	0	0	0	2	control
315	79	4.05	232	0	0	0	3	control
316	79	3.09	177	0	0	0	4	control
317	80	2.00	114	0	0	0	1	control
318	80	5.20	298	0	0	0	2	control
319	80	5.84	335	0	0	0	3	control
320	80	0.75	43	0	0	0	4	control
